Gene,Coefficient_of_Variation
0,-427.57682008506066
1,-386.02574285885834
2,1662.7028409446443
3,-2269.6791665739374
4,-6267.509127055721
5,-1795.8626139007415
6,-648.6947757637292
7,-2027.7481512510967
8,-1087.6841893522933
9,-2269.1879885146
10,14663.618070423601
11,1638.5603518835683
12,941.5019345321481
13,707.0986538124955
14,494.837888982696
15,599.588599735667
16,1975.6140597782191
17,-693.7342915211292
18,-316.4298090641761
19,-387.68560607143337
20,1333.5440956443276
21,2149.558619173728
22,905.6791350643518
23,435.66411502649237
24,740.7854589622507
25,-385.67475338944
26,-1265.6440087101764
27,-1413.5363272845434
28,-456.99962959036515
29,-430.89888158806593
30,-1982.7057992266436
31,-1095.8772156852278
32,1133.9168866310424
33,1260.6836778782488
34,1309.2835884637382
35,680.3219998167118
36,7836.982139383498
37,603.8257724869867
38,614.887574807948
39,590.3327173615478
40,413.9435143453085
41,313.3855980757339
42,297.08998978465803
43,1220.810703474508
44,328.65009351907895
45,482.8470148169645
46,387.1801925125726
47,703.8827635199526
48,17954.854942520742
49,1373.2719516503828
50,947.7054066128259
51,1094.3441133672434
52,10543.696622225909
53,1465.9416653246599
54,-2035.0355389485646
55,917.4314910993461
56,2016.3328347558192
57,3016.030632672
58,-1005.781712109253
59,2477.2372605396076
60,840.7020799717777
61,342.68517850704313
62,458.6818036126909
63,257.12944850471627
64,316.44514944096136
65,326.78136446555595
66,298.69290598342525
67,301.90007966796145
68,947.3257966381077
69,316.47150451335807
70,218.90371762099187
71,347.9289092525752
72,419.8461975675154
73,597.1333381781694
74,2079.1427251019472
75,1740.1242435613437
76,639.1641707461375
77,1036.4835875587269
78,550.9128371415022
79,-12164.126284035689
80,1182.1924171817786
81,349.6004941849787
82,508.5125725361137
83,750.0826845047183
84,-684.2935324480177
85,3320.451644385436
86,976.8174039206796
87,710.2141213432551
88,1007.8405042350533
89,647.1610845928806
90,562.8815980238039
91,625.0996227526542
92,536.7161364269674
93,1792.4104323329022
94,676.2635995256624
95,728.0009908513927
96,644.1054720440176
97,685.806965037858
98,755.8433891061063
99,-497.0937508318896
100,-339.62096603151844
101,-485.97759851551325
102,3086.5071384640382
103,-2099.084167782307
104,-14493.607607319254
105,-635.1080848628027
106,72028.68802184457
107,-733.7825213945473
108,-377.70346317161943
109,-5095.248464810634
110,-644.7561273331572
111,1865.729488246074
112,-3347.712627380021
113,-1317.6809209046105
114,485.74894204548025
115,2039.4199932697027
116,8262.1619800873
117,919.440672192652
118,462.8379200696479
119,950.1463274596445
120,-3911.8888313916623
121,18083.923076759474
122,755.1059079747416
123,-2420.6334496527643
124,858.6891748623236
125,1069.4539742134905
126,420.81023033905416
127,-282381.2304905037
128,498.1597493529302
129,18539.613212376316
130,569.3811658472422
131,531.5083004123286
132,-1600.1266258374035
133,2796.3041439497783
134,1469.6706598433045
135,-1412.1735338496546
136,841.2509338805531
137,908.9486342237182
138,815.3342377161958
139,635.4334070176814
140,-5332.005469885582
141,4358.307715819038
142,-3537.2806098474634
143,255.33990435676728
144,249.50301279518357
145,343.7961072073076
146,309.4599802996918
147,1461.0840791609148
148,-1209.198820178134
149,1091.1943082400403
150,632.843030593305
151,429.0344667881536
152,568.3225437066676
153,-367.19676993461826
154,784.5415098533671
155,796.0151081587605
156,571.0361001859458
157,373.5362856062859
158,473.8920081358855
159,485.3355711835587
160,791.5117682848698
161,549.729283450142
162,414.2717539486666
163,1227.5562239673386
164,1064.4365093349802
165,2745.3232371300646
166,745.8888976230985
167,1528.1400352996006
168,493.55737586222455
169,687.2681931299519
170,4114.743472703233
171,508.5537686543435
172,349.65286046464274
173,932.4084114945938
174,3050.555904137308
175,387.2126049282561
176,415.9453893766888
177,705.4615623600031
178,516.7734587730951
179,397.4229079051687
180,341.74488257838664
181,1736.1272391541129
182,494.4477928049671
183,-1334.540454008909
184,1455.9197376217862
185,588.4151223562139
186,485.1086004860019
187,461.767471274764
188,-2962.14480054563
189,328.20924709416386
190,435.60050101682816
191,1357.0064697360933
192,521.0877876886824
193,428.90389276828927
194,256.0037199824372
195,193.35080819734193
196,345.57004829863916
197,466.2949909443376
198,322.54327034657206
199,266.8438178475854
200,520.6569608395133
201,319.03154139357474
202,335.90379276577517
203,275.9664389899664
204,811.7355202483888
205,318.11110769156795
206,177.1513267293879
207,848.4876896801366
208,544.8241465827547
209,854.5379941348273
210,327.9817946227441
211,381.83041783621525
212,650.6841333331979
213,855.4333896996693
214,-3966.258741644486
215,134842.22231198382
216,406.4455493481405
217,1681.0863851990457
218,2729.2307467292053
219,1188.0715842865245
220,1148.372078255665
221,-849.194957281129
222,363.1701420561017
223,1261.8929602499265
224,562.2938224588797
225,341.9895492051681
226,8813.662518756619
227,804.6089853451189
228,679.8220133774043
229,366.5251522398912
230,708.4037371355398
231,2458.3476266472753
232,185.39595132752098
233,206.38438153551243
234,380.1954321857292
235,217.33059613460946
236,342.89201895267524
237,-7616.277705379295
238,552.7286906495091
239,-2036.099843139876
240,6122.324877600784
241,7007.67937947129
242,913.7990766889105
243,406.12747034764675
244,588.4615713415451
245,3611.9182141628094
246,-6367.036226527797
247,671.1342603061087
248,931.7426569736571
249,-881.2575564161007
250,367.3751501533987
