Gene,Coefficient_of_Variation
0,-28.937249296355827
1,-20.590725676171008
2,-82.10251437774316
3,219.15998760192696
4,-18.908468108312462
5,-9.337923753673339
6,-106.88216278145029
7,-15.372108692188574
8,-157.03723143460215
9,-258.4034507385361
10,-108.36595268515235
11,-9.134418757288934
12,-17.39282695603119
13,-26.755608998187558
14,-300.445624125521
15,728.3562832433444
16,-38.467695089355054
17,-18.774215699592254
18,17.43153773352237
19,-81.27208094888036
20,-4777.034107321627
21,-27.695223246993965
22,-50.928642856318206
23,-36.706564646142056
24,-210.5985416304398
25,-25.101714610089875
26,-22.269431510751488
27,-61.830774478071135
28,-38.31971834752629
29,-30.657391430197784
30,-13.096574462723687
31,-51.78406737594852
32,-18.28506187318002
33,-22.08370496043548
34,-30.160644099315252
35,-78.60403475407814
36,-1597.0727159417359
37,41.03984337899093
38,265.1862146075758
39,-1451.6517265478428
40,-2741.9863748049975
41,18.79166008182779
42,18.989865485143127
43,8.530942133314404
44,12.434067971726032
45,23.04162246451326
46,8.602182850681958
47,77.38662232919565
48,-148.8816829962103
49,136.629683844196
50,99.1746615612566
51,28.740159929894286
52,94.06068536501438
53,25.621040924877985
54,-198.6999348605486
55,508.0219082150898
56,128.20084624841584
57,-63.714221503512924
58,92.1579611409856
59,118.64311523608113
60,-77.35582236913483
61,139.0838604683597
62,-68.5514119868119
63,-125.45740592330876
64,218.3361722191481
65,239.22576577767867
66,8.848215705673754
67,-1581.674306405819
68,29.74914360914344
69,-10.146701954602003
70,-13.180637791410902
71,149.16326920185776
72,-79.10649247249333
73,-50.90140279259964
74,-41.23323592673843
75,-29.287319733483137
76,-478.6130272556271
77,57.320621365518555
78,20.626427343599545
79,-71.22731103325378
80,391.2228899256457
81,24.591558303327275
82,-98.64605148742419
83,-45.783083458243155
84,-95.01789461373866
85,49.78788722447395
86,-91.91011518972647
87,21.56848734300368
88,22.728295895738622
89,-202.15819068178408
90,25.22471265226429
91,261.9360352313128
92,18.784525061131635
93,16.49465558178538
94,92.82950759834792
95,-22.810585665285508
96,-22.991496827583653
97,44.620703713432334
98,773.0132883017377
99,-34.09589970751569
100,-695.6490967191269
101,-47.96995660978265
102,1180.277565255814
103,-556.1078319603724
104,-32.781011877234484
105,-58.79087837283989
106,7.112753975023741
107,20.86058375773209
108,-14.276017886723253
109,54.31921500567901
110,-64.02056908825043
111,-65.95013521523744
112,178.43556560814574
113,-716.933407892364
114,-24.335513783466837
115,-42.83000928244911
116,1096.311879082464
117,-306.3354130984547
118,-138.03107447882533
119,-53.22944042108686
120,-42.60566326259017
121,-53.30364576864258
122,686.5235652553454
123,23.76738167424662
124,-28.279151976395696
125,-20.993343263288992
126,-198.94195175342517
127,-43.60509492405248
128,150.9579775565618
129,64.1821712988875
130,48.762068494046076
131,-1563.5680385220417
132,-69.05706855058182
133,-73.83681822444177
134,-37.58147755494614
135,34.02565492667527
136,-211.71514535357633
137,58.90155688175703
138,28.053604302553648
139,38.88430983625981
140,-50.46049494194402
141,223.28848784698465
142,-965.180664352145
143,61.663327715350235
