first_gene,second_gene
0,311
0,1151
1,4520
4,74
4,186
4,215
4,1791
4,6193
5,215
5,4217
6,6909
8,834
8,930
8,1358
8,1381
8,2031
8,2417
8,2741
8,4691
8,5871
8,6211
8,6835
8,7097
10,762
10,5495
11,4987
12,5533
15,636
15,910
15,1271
15,1773
15,2329
15,2509
15,2542
15,2951
15,3475
15,3657
15,5486
15,5679
15,5680
15,5870
15,5962
15,6156
15,7101
18,107
18,1221
18,1765
18,1948
18,1971
18,2801
18,4651
18,4947
18,5057
18,5198
18,5236
18,5996
18,6183
18,6730
18,6753
18,6857
18,7095
19,20
19,24
19,32
19,33
19,34
19,784
19,806
19,851
19,872
19,906
19,1194
19,1195
19,1324
19,1354
19,1389
19,1646
19,1737
19,1738
19,1813
19,1818
19,1936
19,2065
19,2367
19,2770
19,2771
19,2773
19,2774
19,3033
19,3034
19,3036
19,3155
19,3424
19,3636
19,3699
19,4014
19,4017
19,4064
19,4065
19,4147
19,4214
19,4426
19,4476
19,4499
19,4614
19,4655
19,4736
19,5047
19,5077
19,5160
19,5171
19,5252
19,5280
19,5534
19,5696
19,5697
19,5841
19,5894
19,5898
19,5970
19,6094
19,6139
19,6330
19,6516
19,6546
19,6603
19,6702
19,6714
19,6784
19,6898
19,6911
19,7004
19,7067
19,7069
19,7077
19,7079
19,7124
19,7125
20,19
20,24
20,32
20,33
20,785
20,851
20,906
20,1195
20,1354
20,1389
20,1737
20,1746
20,1813
20,1935
20,2065
20,2770
20,2771
20,2773
20,2774
20,3033
20,3034
20,3036
20,3636
20,3990
20,4014
20,4064
20,4065
20,4362
20,4499
20,4625
20,5201
20,5252
20,5696
20,5697
20,5897
20,5898
20,6116
20,6165
20,6702
20,6714
20,6784
20,6898
20,7069
20,7077
21,3626
21,5028
21,6862
22,2157
22,4117
22,6716
23,24
23,872
23,2262
23,2769
23,3034
23,3264
23,4499
23,4616
23,5420
23,6702
23,6714
23,6784
23,7069
23,7079
24,19
24,20
24,23
24,32
24,33
24,34
24,785
24,806
24,872
24,906
24,1195
24,1354
24,1389
24,1737
24,1746
24,1813
24,1935
24,2262
24,2297
24,2669
24,2769
24,2770
24,2771
24,2773
24,2774
24,3033
24,3034
24,3036
24,3207
24,4017
24,4064
24,4065
24,4147
24,4383
24,4426
24,4476
24,4499
24,4596
24,4625
24,4736
24,5032
24,5047
24,5077
24,5172
24,5201
24,5209
24,5252
24,5280
24,5420
24,5534
24,5680
24,5696
24,5895
24,5898
24,5909
24,5971
24,6150
24,6546
24,6702
24,6705
24,6714
24,6715
24,6726
24,6784
24,6830
24,7004
24,7067
24,7069
24,7075
24,7077
27,5214
32,19
32,20
32,24
32,33
32,34
32,35
32,872
32,888
32,906
32,996
32,1195
32,1737
32,1813
32,1818
32,2770
32,2773
32,2774
32,3034
32,3036
32,3636
32,4014
32,4064
32,4065
32,4147
32,4426
32,4499
32,4596
32,4614
32,4655
32,4736
32,5201
32,5209
32,5252
32,5280
32,5534
32,5696
32,5748
32,5898
32,6151
32,6285
32,6373
32,6546
32,6680
32,6702
32,6714
32,6715
32,6784
32,6830
32,6898
32,7067
32,7069
32,7077
32,7125
33,19
33,20
33,24
33,32
33,34
33,35
33,784
33,806
33,872
33,888
33,906
33,996
33,1194
33,1195
33,1212
33,1354
33,1389
33,1737
33,1813
33,1818
33,1935
33,1936
33,2052
33,2065
33,2367
33,2770
33,2771
33,2773
33,2774
33,3034
33,3036
33,3360
33,3424
33,3636
33,4014
33,4017
33,4026
33,4064
33,4065
33,4147
33,4426
33,4499
33,4596
33,4614
33,4625
33,4655
33,4736
33,5047
33,5077
33,5160
33,5171
33,5201
33,5209
33,5252
33,5280
33,5420
33,5534
33,5696
33,5697
33,5748
33,5897
33,5898
33,5909
33,5971
33,6094
33,6150
33,6155
33,6397
33,6546
33,6702
33,6705
33,6712
33,6714
33,6715
33,6784
33,6898
33,7067
33,7069
33,7077
33,7124
34,19
34,24
34,32
34,33
34,35
34,223
34,888
34,906
34,996
34,1195
34,1737
34,1813
34,2065
34,2367
34,2770
34,2771
34,2773
34,2774
34,4026
34,4064
34,4065
34,4614
34,4625
34,4655
34,4736
34,5047
34,5171
34,5201
34,5252
34,5518
34,5534
34,5697
34,5898
34,5909
34,5969
34,5971
34,6276
34,6612
34,6671
34,6702
34,6714
34,7069
35,32
35,33
35,34
35,36
35,37
35,5372
35,5969
36,35
36,37
36,5923
37,35
37,36
37,337
37,2321
37,2420
37,4919
37,5923
38,39
38,40
38,50
38,51
38,53
38,56
38,57
38,72
38,651
38,2733
38,3720
38,4316
38,6180
38,6681
38,6710
39,38
39,40
39,50
39,51
39,53
39,56
39,57
39,651
39,2733
39,4316
39,6180
39,6681
39,6710
40,38
40,39
40,50
40,51
40,53
40,56
40,57
40,649
40,651
40,837
40,2733
40,3720
40,3870
40,4316
40,6180
40,6681
40,6710
40,6820
41,42
41,43
41,44
41,45
41,214
41,1521
41,2290
41,3970
41,4816
41,5541
41,5941
41,5997
41,6126
41,6386
41,6612
41,7050
41,7090
42,41
42,43
42,44
42,45
42,87
42,214
42,331
42,342
42,505
42,609
42,882
42,903
42,1010
42,1061
42,1073
42,1153
42,1540
42,1801
42,1989
42,2023
42,2122
42,2290
42,2363
42,2785
42,3047
42,3343
42,3499
42,3662
42,3970
42,4141
42,4291
42,4386
42,4504
